t,beta1,r1,sigma
3/6/2021,0.10743791,0.074338272,0.05
4/6/2021,0.10743791,0.074338272,0.05
5/6/2021,0.10743791,0.074338272,0.05
6/6/2021,0.10743791,0.074338272,0.05
7/6/2021,0.10743791,0.074338272,0.05
8/6/2021,0.10743791,0.074338272,0.05
9/6/2021,0.10743791,0.074338272,0.05
10/6/2021,0.079202547,0.0952456,0.05
11/6/2021,0.079202547,0.0952456,0.05
12/6/2021,0.079202547,0.0952456,0.05
13/6/2021,0.079202547,0.0952456,0.05
14/6/2021,0.079202547,0.0952456,0.05
15/6/2021,0.079202547,0.0952456,0.05
16/6/2021,0.079202547,0.0952456,0.05
17/6/2021,0.079202547,0.0952456,0.05
18/6/2021,0.079202547,0.0952456,0.05
19/6/2021,0.079202547,0.0952456,0.05
20/6/2021,0.079202547,0.0952456,0.05
21/6/2021,0.079202547,0.0952456,0.05
22/6/2021,0.079202547,0.0952456,0.05
23/6/2021,0.079202547,0.0952456,0.05
24/6/2021,0.079202547,0.0952456,0.05
25/6/2021,0.079202547,0.0952456,0.05
26/6/2021,0.079202547,0.0952456,0.05
27/6/2021,0.079202547,0.0952456,0.05
28/6/2021,0.079202547,0.0952456,0.05
29/6/2021,0.079202547,0.0952456,0.05
30/6/2021,0.104571941,0.077743418,0.05
1/7/2021,0.104571941,0.077743418,0.05
2/7/2021,0.104571941,0.077743418,0.05
3/7/2021,0.104571941,0.077743418,0.05
4/7/2021,0.104571941,0.077743418,0.05
5/7/2021,0.104571941,0.077743418,0.05
6/7/2021,0.104571941,0.077743418,0.05
7/7/2021,0.104571941,0.077743418,0.05
8/7/2021,0.104571941,0.077743418,0.05
9/7/2021,0.104571941,0.077743418,0.05
10/7/2021,0.104571941,0.077743418,0.05
11/7/2021,0.104571941,0.077743418,0.05
12/7/2021,0.104571941,0.077743418,0.05
13/7/2021,0.104571941,0.077743418,0.05
14/7/2021,0.106982892,0.059190194,0.05
15/7/2021,0.106982892,0.059190194,0.05
16/7/2021,0.106982892,0.059190194,0.05
17/7/2021,0.106982892,0.059190194,0.05
18/7/2021,0.106982892,0.059190194,0.05
19/7/2021,0.106982892,0.059190194,0.05
20/7/2021,0.106982892,0.059190194,0.05
21/7/2021,0.106982892,0.059190194,0.05
22/7/2021,0.106982892,0.059190194,0.05
23/7/2021,0.106982892,0.059190194,0.05
24/7/2021,0.106982892,0.059190194,0.05
25/7/2021,0.106982892,0.059190194,0.05
26/7/2021,0.106982892,0.059190194,0.05
27/7/2021,0.092090105,0.063465363,0.05
28/7/2021,0.092090105,0.063465363,0.05
29/7/2021,0.092090105,0.063465363,0.05
30/7/2021,0.092090105,0.063465363,0.05
31/7/2021,0.092090105,0.063465363,0.05
1/8/2021,0.092090105,0.063465363,0.05
2/8/2021,0.092090105,0.063465363,0.05
3/8/2021,0.092090105,0.063465363,0.05
4/8/2021,0.092090105,0.063465363,0.05
5/8/2021,0.092090105,0.063465363,0.05
6/8/2021,0.092090105,0.063465363,0.05
7/8/2021,0.092090105,0.063465363,0.05
8/8/2021,0.092090105,0.063465363,0.05
9/8/2021,0.092090105,0.063465363,0.05
10/8/2021,0.092090105,0.063465363,0.05
11/8/2021,0.088561261,0.074556014,0.05
12/8/2021,0.088561261,0.074556014,0.05
13/8/2021,0.088561261,0.074556014,0.05
14/8/2021,0.088561261,0.074556014,0.05
15/8/2021,0.088561261,0.074556014,0.05
16/8/2021,0.088561261,0.074556014,0.05
17/8/2021,0.088561261,0.074556014,0.05
18/8/2021,0.088561261,0.074556014,0.05
19/8/2021,0.088561261,0.074556014,0.05
20/8/2021,0.088561261,0.074556014,0.05
21/8/2021,0.088561261,0.074556014,0.05
22/8/2021,0.088561261,0.074556014,0.05
23/8/2021,0.088561261,0.074556014,0.05
24/8/2021,0.08048388,0.075923238,0.05
25/8/2021,0.08048388,0.075923238,0.05
26/8/2021,0.08048388,0.075923238,0.05
27/8/2021,0.08048388,0.075923238,0.05
28/8/2021,0.08048388,0.075923238,0.05
29/8/2021,0.08048388,0.075923238,0.05
30/8/2021,0.08048388,0.075923238,0.05
31/8/2021,0.08048388,0.075923238,0.05
1/9/2021,0.08048388,0.075923238,0.05
2/9/2021,0.08048388,0.075923238,0.05
3/9/2021,0.08048388,0.075923238,0.05
4/9/2021,0.07465634,0.082377912,0.05
5/9/2021,0.07465634,0.082377912,0.05
6/9/2021,0.07465634,0.082377912,0.05
7/9/2021,0.07465634,0.082377912,0.05
8/9/2021,0.07465634,0.082377912,0.05
9/9/2021,0.07465634,0.082377912,0.05
10/9/2021,0.07465634,0.082377912,0.05
11/9/2021,0.07465634,0.082377912,0.05
12/9/2021,0.07465634,0.082377912,0.05
13/9/2021,0.07465634,0.082377912,0.05
14/9/2021,0.07465634,0.082377912,0.05
15/9/2021,0.07465634,0.082377912,0.05
16/9/2021,0.07465634,0.082377912,0.05
17/9/2021,0.07465634,0.082377912,0.05
18/9/2021,0.07465634,0.082377912,0.05
19/9/2021,0.07465634,0.082377912,0.05
20/9/2021,0.07465634,0.082377912,0.05
21/9/2021,0.07465634,0.082377912,0.05
22/9/2021,0.07465634,0.082377912,0.05
23/9/2021,0.07465634,0.082377912,0.05
24/9/2021,0.07465634,0.082377912,0.05
25/9/2021,0.07465634,0.082377912,0.05
26/9/2021,0.07465634,0.082377912,0.05
27/9/2021,0.07465634,0.082377912,0.05
28/9/2021,0.066046475,0.09596576,0.05
29/9/2021,0.066046475,0.09596576,0.05
30/9/2021,0.066046475,0.09596576,0.05
1/10/2021,0.066046475,0.09596576,0.05
2/10/2021,0.066046475,0.09596576,0.05
3/10/2021,0.066046475,0.09596576,0.05
4/10/2021,0.066046475,0.09596576,0.05
5/10/2021,0.066046475,0.09596576,0.05
6/10/2021,0.066046475,0.09596576,0.05
7/10/2021,0.066046475,0.09596576,0.05
8/10/2021,0.066046475,0.09596576,0.05
9/10/2021,0.066046475,0.09596576,0.05
10/10/2021,0.066046475,0.09596576,0.05
11/10/2021,0.066046475,0.09596576,0.05
12/10/2021,0.066046475,0.09596576,0.05
13/10/2021,0.067811175,0.092279016,0.05
14/10/2021,0.067811175,0.092279016,0.05
15/10/2021,0.067811175,0.092279016,0.05
16/10/2021,0.067811175,0.092279016,0.05
17/10/2021,0.067811175,0.092279016,0.05
18/10/2021,0.067811175,0.092279016,0.05
19/10/2021,0.067811175,0.092279016,0.05
20/10/2021,0.067811175,0.092279016,0.05
21/10/2021,0.067811175,0.092279016,0.05
22/10/2021,0.067811175,0.092279016,0.05
23/10/2021,0.067811175,0.092279016,0.05
24/10/2021,0.067811175,0.092279016,0.05
25/10/2021,0.067811175,0.092279016,0.05
26/10/2021,0.067811175,0.092279016,0.05
27/10/2021,0.067811175,0.092279016,0.05
28/10/2021,0.07737569,0.08173999,0.05
29/10/2021,0.07737569,0.08173999,0.05
30/10/2021,0.07737569,0.08173999,0.05
31/10/2021,0.07737569,0.08173999,0.05
1/11/2021,0.07737569,0.08173999,0.05
2/11/2021,0.07737569,0.08173999,0.05
