date,cases_recovered,cases_active,deaths_total,icu_covid,vent_covid,susceptible
5/4/2021,1478088,20889,52987,3758,646,58341920
6/4/2021,1478820,20601,52995,3629,620,58341468
7/4/2021,1479821,20000,53032,3629,620,58341031
8/4/2021,1480632,19866,53111,3609,618,58340275
9/4/2021,1481637,20165,53173,3610,631,58338909
10/4/2021,1482682,20334,53226,3614,620,58337642
11/4/2021,1483296,20975,53256,3601,623,58336357
12/4/2021,1484356,20780,53322,3662,628,58335426
13/4/2021,1485315,20442,53356,3648,632,58334771
14/4/2021,1486873,19664,53423,3554,627,58333924
15/4/2021,1488060,20001,53498,4889,615,58332325
16/4/2021,1488572,20788,53571,3607,601,58330953
17/4/2021,1489457,21235,53663,3566,592,58329529
18/4/2021,1490143,21826,53711,3563,609,58328204
19/4/2021,1490876,22157,53736,3625,615,58327115
20/4/2021,1494630,19126,53757,3670,642,58326371
21/4/2021,1495864,18615,53887,3742,644,58325518
22/4/2021,1496756,19239,53940,3748,633,58323949
23/4/2021,1499110,18243,53995,3677,610,58322536
24/4/2021,1500360,18559,54066,3677,610,58320899
25/4/2021,1501185,19060,54125,3679,587,58319514
26/4/2021,1501880,19443,54148,3683,597,58318413
27/4/2021,1502986,19148,54186,3661,585,58317564
28/4/2021,1503611,19352,54237,3661,585,58316684
29/4/2021,1504426,19739,54285,3764,620,58315434
30/4/2021,1505620,19585,54331,3783,634,58314348
1/5/2021,1506732,20128,54350,3750,630,58312674
2/5/2021,1507778,20658,54406,3756,629,58311042
3/5/2021,1508558,21089,54417,3756,629,58309820
4/5/2021,1509656,20853,54452,3868,649,58308923
5/5/2021,1510385,21252,54511,3946,664,58307736
6/5/2021,1511905,21759,54557,3986,682,58305663
7/5/2021,1513202,22548,54620,4032,677,58303514
8/5/2021,1513202,24737,54687,4080,698,58301258
9/5/2021,1516256,23837,54724,4052,696,58299067
10/5/2021,1517350,24510,54735,4091,694,58297289
11/5/2021,1519258,23641,54825,4216,722,58296160
12/5/2021,1519734,24642,54896,4186,716,58294612
13/5/2021,1520878,26185,54968,4274,741,58291853
14/5/2021,1522165,28075,55012,4259,744,58288632
15/5/2021,1523243,30026,55124,4275,757,58285491
16/5/2021,1524352,31608,55183,4286,751,58282741
17/5/2021,1526638,31880,55210,4380,767,58280156
18/5/2021,1527968,32257,55260,4473,780,58278399
19/5/2021,1528868,33632,55340,4632,829,58276044
20/5/2021,1531993,33862,55507,4709,823,58272522
21/5/2021,1534350,35085,55568,4769,840,58268881
22/5/2021,1537430,35186,55719,4829,882,58265549
23/5/2021,1539395,37404,55772,4856,886,58261313
24/5/2021,1541250,38413,55802,4846,891,58258419
25/5/2021,1543951,38023,55874,4849,891,58256036
26/5/2021,1546583,38373,55976,5276,984,58252952
27/5/2021,1548092,41386,56077,5361,986,58248329
28/5/2021,1551520,42289,56170,5361,986,58243905
29/5/2021,1554184,44078,56293,5561,1038,58239329
30/5/2021,1554184,48523,56363,5650,1043,58234814
31/5/2021,1559337,47049,56439,5874,1048,58231059
1/6/2021,1563719,45392,56506,6103,1117,58228267
2/6/2021,1565684,46946,56601,6206,1159,58224653
3/6/2021,1567635,50667,56711,6421,1218,58218871
4/6/2021,1570975,52633,56765,6708,1244,58213511
5/6/2021,1574223,54986,56832,6593,1241,58207843
6/6/2021,1578033,56529,56929,6623,1246,58202393
7/6/2021,1581540,58050,56974,6727,1249,58197320
8/6/2021,1587015,55771,57063,6853,1284,58194035
9/6/2021,1589501,57374,57183,7293,1334,58189826
10/6/2021,1593059,62570,57310,7193,1370,58180945
11/6/2021,1598293,66383,57410,7462,1407,58171798
12/6/2021,1602406,70109,57591,7445,1425,58163778
13/6/2021,1606581,75191,57653,7448,1423,58154459
14/6/2021,1611447,77904,57731,7786,1449,58146802
15/6/2021,1616405,78341,57884,8327,1532,58141254
16/6/2021,1620317,82708,58041,8327,1532,58132818
17/6/2021,1623319,92875,58118,8499,1549,58119572
18/6/2021,1632182,95574,58323,9255,1677,58107805
19/6/2021,1640849,97299,58441,9323,1705,58097295
20/6/2021,1647503,104071,58590,9344,1717,58083720
21/6/2021,1656680,107937,58702,9494,1703,58070565
22/6/2021,1665540,108144,58795,10114,1787,58061405
23/6/2021,1671391,113089,59092,10477,1815,58050312
24/6/2021,1675827,125980,59258,10721,1822,58032819
25/6/2021,1690380,127357,59406,11119,1864,58016741
26/6/2021,1702070,134214,59621,11149,1868,57997979
27/6/2021,1709999,144084,59778,11418,1910,57980023
28/6/2021,1723882,145115,59900,11801,1929,57964987
29/6/2021,1739976,141105,60038,12559,2020,57952765
30/6/2021,1748042,146160,60264,12923,2071,57939418
1/7/2021,1754793,158532,60647,12931,2071,57919912
2/7/2021,1773930,160597,61029,13751,2191,57898328
3/7/2021,1792361,166133,61332,13846,2236,57874058
4/7/2021,1808082,176722,61507,13972,2217,57847573
5/7/2021,1827821,173235,61840,14365,2233,57830988
6/7/2021,1845038,168200,62171,15076,2359,57818475
7/7/2021,1853804,174477,62628,15450,2386,57802975
8/7/2021,1862900,186397,63039,15709,2413,57781548
9/7/2021,1884170,187577,63499,16286,2445,57758638
10/7/2021,1904107,189707,63873,16321,2495,57736197
11/7/2021,1922601,192558,64138,16278,2464,57714587
